,가게이름,카테고리,위치,평점,리뷰수,위도,경도
215,소선재,한정식,서울 종로구 삼청로 113-1,2.5,46,37.5854996,126.9817768
216,효자베이커리,제과 | 베이커리,서울 종로구 필운대로 54,3.8,214,37.5809067,126.9686598
217,대장장이화덕피자,피자,서울 종로구 북촌로 42-4,3.8,160,37.5805286,126.9853384
218,효자동초밥,초밥 | 롤,서울 종로구 자하문로 14,2.9,112,37.5773255,126.9724248
219,이문설농탕,설렁탕,서울 종로구 우정국로 38-13 1층,3.0,350,37.5727213,126.9838844
220,더마틴,디저트카페,서울 종로구 자하문로 54-1,3.9,244,37.580934,126.9714842
221,교대이층집 광화문점,삼겹살,서울 종로구 삼봉로 95,4.1,67,37.5724163,126.9824791
222,내자상회,카페,서울 종로구 사직로10길 3 1층,3.8,331,37.5757119,126.970485
223,광화문미진 본점,한식,서울 종로구 종로 19 르메이에르종로타운 1층 116-2 117호,3.3,601,37.5709593,126.9798759
224,박순례손말이고기 산정집 광화문점,,서울 종로구 새문안로5가길 3-10 선덕빌딩 2층,2.9,236,37.5723246,126.9741678
225,포비 광화문점,카페,서울 종로구 종로3길 17 광화문D타워 1층 21호,4.2,530,37.5709867,126.97892
226,부띠끄경성,양식,서울 종로구 삼청로 75-5,,89,37.5822344,126.9811624
227,설가온,한정식,서울 종로구 세종대로 175 세종문화회관 지하1층,,35,37.5725254,126.9756429
228,티엔미미 서촌점,중국요리,서울 종로구 자하문로7길 19 1층,3.9,256,37.5785624,126.9706428
229,조선김밥,분식,서울 종로구 율곡로3길 68,2.7,100,37.5785715,126.9821938
230,스모어마켓 토이하우스2,테마카페,서울 종로구 율곡로3길 74-3,4.4,232,37.5789984,126.9823771
231,화목순대국 광화문1호점,순대,서울 종로구 새문안로5길 11,3.9,74,37.5711525,126.9747091
232,라면점빵,분식,서울 종로구 자하문로1길 39,4.2,82,37.5765539,126.970118
233,통인스윗,디저트카페,서울 종로구 자하문로7길 50,3.7,201,37.579596,126.9696221
234,용금옥,추어,서울 종로구 자하문로 41-2,3.4,32,37.5796945,126.9708967
235,강구미주구리,회,서울 종로구 자하문로2길 5,3.8,42,37.5765503,126.9730162
236,준수방키친,양식,서울 종로구 자하문로11길 8,3.5,201,37.57965739999999,126.9707704
237,와이엔,카페,서울 종로구 윤보선길 71 1층,3.9,146,37.5779108,126.9835156
238,서울서둘째로잘하는집,전통찻집,서울 종로구 삼청로 122-1,4.0,162,37.5862055,126.9818215
239,베어카페,카페,서울 종로구 자하문로24길 24,3.3,140,37.5828421,126.9711398
240,돌밭메밀꽃,국수,서울 종로구 효자로 31-1,4.0,41,37.5788439,126.97369
241,모던김밥,분식,서울 종로구 자하문로2길 10,3.2,17,37.5763754,126.9732065
242,백부장집닭한마리 본관,닭요리,서울 종로구 삼봉로 100-1,4.3,144,37.5717819,126.9826723
243,루뽀,와인바,서울 종로구 새문안로5길 31 센터포인트빌딩 2층,4.0,186,37.5715671,126.9745288
244,PKM가든레스토랑,양식,서울 종로구 삼청로7길 40 PKM갤러리 2층,4.3,34,37.5840393,126.9801337
245,플로라 삼청점,양식,서울 종로구 율곡로3길 74-6 1층,3.4,12,37.5788041,126.9823095
246,대오서점,카페,서울 종로구 자하문로7길 55,2.7,72,37.5796942,126.9693117
247,비스트로친친,이탈리안,서울 종로구 효자로13길 54 1층,,60,37.5820922,126.9727623
248,누하의숲,일식집,서울 종로구 필운대로 31-1,3.9,145,37.5787547,126.9687302
249,공기식당,일식,서울 종로구 필운대로6길 20-1,4.4,145,37.58030189999999,126.9693633
250,콩지POT지,이탈리안,서울 종로구 북촌로 21-15,3.8,306,37.5787894,126.9843668
251,스타벅스 경복궁역점,커피전문점,서울 종로구 자하문로4길 6 1층,3.7,22,37.5771471,126.9726344
252,대하식당,육류 | 고기,서울 종로구 자하문로7길 27,4.5,124,37.57890330000001,126.9704717
253,도마 인사점,한식,서울 종로구 인사동8길 6-1,4.1,124,37.5737422,126.9858788
254,우드앤브릭 재동점,제과 | 베이커리,서울 종로구 북촌로5길 14 1층,3.4,122,37.5794714,126.9840451
255,아지오,이탈리안,서울 종로구 인사동11길 23,3.1,228,37.5736651,126.9834119
256,진진수라 광화문점,한정식,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,3.6,160,37.5706059,126.9805337
257,호아드카페&갤러리,갤러리카페,서울 종로구 율곡로1길 54-3,3.2,36,37.5782503,126.9809913
258,프리시즌,카페,서울 종로구 자하문로6길 9,3.6,147,37.5781506,126.9726116
259,들풀건강한밥상 청운동점,한식,서울 종로구 자하문로 118,3.3,42,37.5864075,126.9701068
260,버거드조선,햄버거,서울 종로구 사직로10길 7,4.2,161,37.5755237,126.9704944
261,조금,일식집,서울 종로구 인사동길 60,2.6,119,37.5752491,126.9836145
262,창성갈비,갈비,서울 종로구 자하문로 40-1,4.1,35,37.5795599,126.9715801
263,서린낙지,해물 | 생선,서울 종로구 종로 19 르메이에르 종로타운 2층,3.1,183,37.5709593,126.9798759
264,애호락,한식,서울 종로구 계동길 41 2층,3.7,156,37.5791292,126.9865789
265,삼백집 경복궁역점,국밥,서울 종로구 사직로 133-3,2.1,30,37.5760899,126.9733293
